id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
997921,apple,iphone 12,459.0,64 GB,6.1,12.0,5G,black,5.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-12-5g-6-1-64-gb-12-mp-schwarz--p0002551070
14040948,samsung,galaxy s23 fe,499.0,128 GB,6.4,50.0,5G,cream,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-fe-128-gb-cream-6-4-50-mp-5g--p0014040948
6242461,apple,iphone se 2022,389.0,64 GB,4.7,12.0,5G,polar star,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-64-gb-4-7-12-mp-polarstern--p0006242461
14103187,samsung,galaxy a35 5g,359.95,128 GB,6.6,50.0,5G,awesome navy,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a35-5g-128-gb-awesome-navy-6-6-50-mp-5g--p0014103187
14082858,xiaomi,redmi note 13,179.95,128 GB,6.67,108.0,,midnight black,,,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-13-128-gb-midnight-black-6-67-108-mp--p0014082858
1018403,apple,iphone 13,649.0,256 GB,6.1,12.0,5G,rosé,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-ros%C3%A9--p0002866482
13899656,apple,iphone 15,849.0,256 GB,6.1,48.0,5G,green,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-gr%C3%BCn-6-1-48-mp-5g--p0013899656
14070441,samsung,galaxy s24 ultra,1499.0,1000 GB,6.8,200.0,5G,titanium gray,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-ultra-1000-gb-titanium-gray-6-8-200-mp-5g--p0014070441
14070435,samsung,galaxy s24+,949.0,256 GB,6.7,50.0,5G,onyx black,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-onyx-black-6-7-50-mp-5g--p0014070435
13685804,samsung,galaxy a34 5g,319.95,128 GB,6.6,48.0,5G,awesome graphite,3.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a34-5g-5g-128-gb-6-6-48-mp-awesome-graphite--p0013685804
14110925,nothing,phone,379.95,2a) (256 GB,6.7,50.0,5G,black,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/nothing-phone-2a-256-gb-schwarz-6-7-50-mp-5g--p0014110925
979869,apple,iphone 11,449.0,128 GB,6.1,12.0,,white,12.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-11-128-gb-6-1-12-mp-weiss--p0001903287
13899711,apple,iphone 15 pro,1499.0,1 TB,6.1,48.0,5G,titanium white,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-1-tb-titan-weiss-6-1-48-mp-5g--p0013899711
14040956,samsung,galaxy a25 5g,269.95,128 GB,6.5,50.0,5G,black-blue,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a25-5g-128-gb-schwarzblau-6-5-50-mp-5g--p0014040956
1000445,nokia,225 4g,59.9,64 MB,2.4,0.3,,black,5.0,4.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/nokia-225-4g-64-mb-2-4-0-3-mp-schwarz--p0002555574
